	time	title	summary	link	source
47	1488136394	progressives riled up after vote	progressive activists lashed out at the democratic party on saturday after their choice to lead its national committee minnesota rep was defeated by former administration labor secretary tom in a tight and unexpectedly contentious contest	http://rss.cnn.com/~r/rss/cnn_us/~3/_axhU8M1hMs/index.html	CNNUS
48	1488159403	ellen and give students the ultimate prize		http://rss.cnn.com/~r/rss/cnn_us/~3/Z3KtQGLT6Zc/index.html	CNNUS
49	1488218700	rare tornado hits massachusetts	the national weather service has confirmed that a tornado with winds up to number mph touched down in western say the ef number tornado touched down saturday evening in in franklin county	http://feeds.foxnews.com/~r/foxnews/national/~3/SpxEXU1uMJY/rare-tornado-hits-massachusetts.html	FOXUS
50	1488218580	houston girl number shot dead moments after car crash	houston police are investigating a shooting that killed an number year old girl moments after a car crash saturday	http://feeds.foxnews.com/~r/foxnews/national/~3/Llqb-_RwcjI/houston-girl-8-shot-dead-moments-after-car-crash.html	FOXUS
51	1488218400	navy veteran says hes forced to live in a storage unit	a disabled navy veteran who fought for his country in the gulf war now finds himself living in a denver storage unit he calls home sweet hell	http://feeds.foxnews.com/~r/foxnews/national/~3/vlqse5e6-BM/navy-veteran-says-hes-forced-to-live-in-storage-unit.html	FOXUS
52	1488217680	number rescued after plane crashes into colorado reservoir	two people were extricated after a plane crashed into a reservoir in county on monday morning the fire department said	http://feeds.foxnews.com/~r/foxnews/national/~3/rs6W_l0cA8c/2-rescued-after-plane-crashes-into-colorado-reservoir.html	FOXUS
53	1488217500	trump tower climber avoids jail time	a man who climbed trump tower last summer in an apparent bid to meet then republican presidential candidate donald trump pleaded guilty monday but will avoid jail time	http://feeds.foxnews.com/~r/foxnews/national/~3/CUfJAeRzxco/trump-tower-climber-avoids-jail-time.html	FOXUS
54	1488216600	college administrator allegedly said there were too many jews on his staff	a high ranking administrator secretly complained about too many jews on the faculty at community college according to blockbuster audio obtained by the post	http://feeds.foxnews.com/~r/foxnews/national/~3/V3SH6R1FXIk/college-administrator-allegedly-said-there-were-too-many-jews-on-his-staff.html	FOXUS
55	1488214800	indiana man sentenced to number years for murder of toddler	the man who killed number month old was sentenced to number years in prison with no term suspended on monday	http://feeds.foxnews.com/~r/foxnews/national/~3/9Aw0mAuhF-8/indiana-man-sentenced-to-60-years-for-murder-toddler-shaylyn-ammerman.html	FOXUS
56	1488214800	manhunt launched for mississippi man eyed in number shootings number deaths	a nationwide manhunt was under way monday for a man linked to three shootings in mississippi two of which turned deadly	http://feeds.foxnews.com/~r/foxnews/national/~3/PF676sL0YMY/manhunt-launched-for-mississippi-man-eyed-in-3-shootings-2-deaths.html	FOXUS
57	1488213960	uncle of boy killed over missing birthday cake gets number years in prison	the uncle of a number year old boy who was fatally beaten over a missing piece of birthday cake has been sentenced to number years imprisonment for handcuffing him to a chair and watching the mothers boyfriend pummel the boy senseless	http://feeds.foxnews.com/~r/foxnews/national/~3/HAdtspT_9iw/uncle-boy-killed-over-missing-birthday-cake-gets-10-years-in-prison.html	FOXUS
58	1488213000	who is baby sarah police use to help solve number year old cold case	police have exhumed a remains to create a profile that might solve a mystery haunting a wisconsin for decades who are the parents of sarah and what led to her death inside a sewer hours after her birth	http://feeds.foxnews.com/~r/foxnews/national/~3/JJIQN7dEXLw/who-is-baby-sarah-police-use-dna-to-help-solve-42-year-old-cold-case.html	FOXUS
59	1488210900	minnesota cop pleads not guilty in shooting death of castile	st anthony police officer pleaded not guilty monday morning to manslaughter in the july shooting death of castile the trial date is set for may number	http://feeds.foxnews.com/~r/foxnews/national/~3/YrQS0zs4CTo/minnesota-cop-pleads-not-guilty-in-shooting-death-philando-castile.html	FOXUS
60	1488209520	money being raised to restore vandalized jewish cemetery in philadelphia	money is being raised to repair and restore more than number headstones that were vandalized at a jewish cemetery in philadelphia while police hunt for the person who toppled them	http://feeds.foxnews.com/~r/foxnews/national/~3/CoftM6YU_ek/money-being-raised-to-restore-vandalized-jewish-cemetery-in-philadelphia.html	FOXUS
61	1488200700	officials identify sailor fatally shot at naval air station	navy officials in virginia are identifying a sailor fatally shot by a naval air station security officer	http://feeds.foxnews.com/~r/foxnews/national/~3/JJUOkqEEvFk/officials-identify-sailor-fatally-shot-at-naval-air-station.html	FOXUS
62	1488193440	florida deputies fatally shoot man during domestic call	florida sheriffs deputies fatally shot a man during a domestic violence call	http://feeds.foxnews.com/~r/foxnews/national/~3/hac1b4TnnDg/florida-deputies-fatally-shoot-man-during-domestic-call.html	FOXUS
63	1488192960	man wounded in kansas bar shooting speaks at vigil i wish it was a dream	one of three men shot at a bar in suburban kansas city spoke at a weekend vigil saying i wish it was a dream	http://feeds.foxnews.com/~r/foxnews/national/~3/0tMWEn6flDY/man-wounded-in-kansas-bar-shooting-speaks-at-vigil-wish-it-was-dream.html	FOXUS
64	1488192420	mardi gras crash suspects alcohol level nearly triple legal limit	the driver accused of plowing into a crowd enjoying a mardi gras parade in new orleans had a blood alcohol level nearly three times the legal limit police said	http://feeds.foxnews.com/~r/foxnews/national/~3/8Fg6zw-Pclo/mardi-gras-crash-suspects-alcohol-level-nearly-triple-legal-limit.html	FOXUS
65	1488189600	morning brief best picture blunder trump bashing overshadow oscars	the number academy awards is the talk of the town but it is not for the reason you would expect it to be	http://feeds.foxnews.com/~r/foxnews/national/~3/OeAsh7acxuk/morning-brief-best-picture-blunder-trump-bashing-overshadow-oscars.html	FOXUS
66	1488182640	body of missing angeles teen recovered police say	the body of a number year old boy who vanished in southern california during a powerful storm earlier this month was found saturday on an island in the angeles river police said	http://feeds.foxnews.com/~r/foxnews/national/~3/ecoJ3Zid1T0/body-missing-los-angeles-teen-recovered-police-say.html	FOXUS
67	1488180960	outcry after chicago area public school plans seminar around civil rights race	a public school in one of wealthiest suburbs stepped into unforeseen controversy last week after deciding that its annual seminar would focus on race and civil rights	http://feeds.foxnews.com/~r/foxnews/national/~3/g-GBFvvdf_w/outcry-after-chicago-area-public-school-plans-seminar-around-civil-rights-race.html	FOXUS
68	1488146640	dozens of headstones toppled at philadelphia jewish cemetery	up to number headstones have been damaged at a jewish cemetery in philadelphia authorities said sunday	http://feeds.foxnews.com/~r/foxnews/national/~3/gT8iS0zpl_Q/dozens-headstones-toppled-at-philadelphia-jewish-cemetery.html	FOXUS
69	1488214254	oscars in segment pays tribute to living producer	the number academy awards may well be remembered for its epic best picture gaffe ending but that wasnt the only mistake made on the broadcast	http://feedproxy.google.com/~r/breitbart/~3/BKnlUZnWrnk/	Breitbart
70	1488216888	oscars ratings hit number year low in early numbers	ratings for the number annual academy awards slid for a second consecutive year as a slew of wins for much beloved la la land a shock best picture win for moonlight and a game host in jimmy couldnt move the needle this year	http://feedproxy.google.com/~r/breitbart/~3/3v6JnkJc0w0/	Breitbart
71	1488202544	oscars conspiracy theory trumps revenge against	a new conspiracy theory about sunday nights disastrous ending at the oscars is making the rounds in hollywood according to a report in the east bay times president donald trump sabotaged the best picture award as revenge against host jimmy for mocking him	http://feedproxy.google.com/~r/breitbart/~3/MkZTAMfkiC8/	Breitbart
72	1488215238	is trump admin trying to create a dictatorship	during a discussion of the trump administration banning certain outlets from a press gaggle on mondays broadcast of morning joe co host wondered if the white house was trying to create a dictatorship after playing a clip from white house press secretary spicer in number saying we have a respect for the press when it comes to the government that that is something that you cant ban an entity from you know conservative liberal or otherwise i think thats what makes a democracy a democracy versus a dictatorship stated h es just described himself she added a re they trying to create a dictatorship i mean im not joking and im not angry h t daily caller follow on twitter	http://feedproxy.google.com/~r/breitbart/~3/syuAi8rtwbU/	Breitbart
73	1488213779	america is our country not we are not going to leave	senior anchor declared on friday that the united states belongs to latino migrants emphatically stating to a spanish speaking audience that it is our country not theirs	http://feedproxy.google.com/~r/breitbart/~3/ZhM4ijTUtpY/	Breitbart
74	1488210242	activist preference for kids single sex shower rooms is prejudiced	parents who oppose their children and teenagers being forced to share bathrooms and shower rooms with opposite sex kids must begin putting aside their prejudices says a leading activist who also asserts there are hundreds of thousands of trans kids in the united states	http://feedproxy.google.com/~r/breitbart/~3/OmYIIpMvPJw/	Breitbart
